english,class,swedish,arabic,somali,persian,ukrainian,polish,spanish,bosnian,albanian
people,(noun),människor,الناس,dad,مردم,Люди,ludzie,gente,ljudi,njerëz
history,(noun),historia,تاريخ,taariikh,تاریخ,історія,historia,historia,istorija,histori
way,(noun),sätt,طريق,dariiq,مسیر,шлях,sposób,forma,način,mënyrë
art,(noun),konst,فن,farshaxan,هنر,мистецтво,sztuka,arte,umjetnost,art
world,(noun),värld,عالم,adduun,جهان,світ,świat,mundo,svijet,botë
information,(noun),information,معلومة,war,اطلاعات,інформація,Informacja,información,informacije,informacion
map,(noun),Karta,خريطة,khariidad,نقشه,карта,mapa,mapa,karta,hartë
two,(noun),två,اثنين,labo,دو,два,dwa,dos,dvoje,dy
family,(noun),familj,عائلة,qooys,خانواده,сім'я,rodzina,familia,porodica,familje
government,(noun),regering,حكومة,xukuumad,دولت,уряд,rząd,gobierno,vlada,qeveri
health,(noun),hälsa,صحة,caafimaad,سلامتی,здоров'я,zdrowie,salud,zdravlje,shëndet
system,(noun),systemet,نظام,nidaam,سیستم,система,system,sistema,sistem,sistem
computer,(noun),dator,حاسوب,kumbuyuutar,کامپیوتر,комп'ютер,komputer,computadora,računar,kompjuter
meat,(noun),kött,لحمة,hilib,گوشت,м'ясо,mięso,carne,meso,Mish
year,(noun),år,سنة,sannad,سال,рік,rok,año,godine,vit
thanks,(noun),tack,شكرًا,mahad,با تشکر,Дякую,Dzięki,gracias,hvala,Faleminderit
music,(noun),musik,موسيقى,muusik,موسیقی,музика,muzyka,música,muzika,muzikë
person,(noun),person,شخص,shakhsi,شخص,людина,osoba,persona,osoba,person
reading,(noun),läsning,قراءة,akhrisashada,خواندن,читання,czytanie,lectura,čitanje,lexim
method,(noun),metod,طريقة,hab,روش,метод,metoda,método,metoda,metodë
data,(noun),data,بيانات,macluumaad,داده ها,дані,dane,datos,podaci,të dhëna
food,(noun),mat,طعام,cunto,غذا,їжа,żywność,alimento,hrana,ushqim
understanding,(noun),förståelse,فهم,is fahan,درك كردن,розуміння,zrozumienie,comprensión,razumevanje,mirëkuptim
theory,(noun),teori,نظرية,aragti,تئوری,теорія,teoria,teoría,teorija,teori
law,(noun),lag,قانون,sharci,قانون,закон,prawo,ley,zakon,ligj
bird,(noun),fågel,طائر,shimbir,پرنده,птах,ptak,pájaro,ptica,shpend
literature,(noun),litteratur,الأدب,suugaan,ادبیات,література,literatura,literatura,literatura,letërsi
problem,(noun),problem,مشكلة,dhibaato,مسئله,проблема,problem,problema,problem,problem
software,(noun),programvara,برمجة,wax-kombiyuutar,نرم افزار,програмне забезпечення,oprogramowanie,software,softver,softuer
control,(noun),kontrollera,يتحكم,xukumid,کنترل,КОНТРОЛЬ,kontrola,control,kontrola,kontroll
knowledge,(noun),kunskap,معرفة,aqoon,دانش,знання,wiedza,conocimiento,znanje,njohuri
power,(noun),kraft,قوة,awood,قدرت,влада,moc,fuerza,snaga,fuqi
ability,(noun),förmåga,قدرة,karti,توانایی,здатність,umiejętność,capacidad,sposobnost,aftësi
economics,(noun),ekonomi,اقتصاديات,dhaqaale,اقتصاد,економіка,Ekonomia,ciencias económicas,ekonomija,ekonomi
love,(noun),kärlek,حب,jecel,عشق,любов,Miłość,amar,ljubav,dua
internet,(noun),internet,إنترنت,internet,اینترنت,Інтернет,Internet,Internet,internet,internet
television,(noun),tv,التلفاز,telefisyoon,تلویزیون,телевізор,telewizja,televisión,televizija,televizion
science,(noun),vetenskap,علوم,cilmi,علوم پایه,наука,nauka,ciencia,nauka,shkencë
library,(noun),bibliotek,مكتبة,maktabad,کتابخانه,бібліотека,biblioteka,biblioteca,biblioteka,librari
nature,(noun),natur,طبيعة,dabiici,ذات,природа,Natura,naturaleza,priroda,natyrë
fact,(noun),faktum,حقيقة,dhab,حقیقت,факт,fakt,hecho,činjenica,fakt
product,(noun),produkt,منتج,badeeco,تولید - محصول,продукт,produkt,producto,proizvod,produkt
idea,(noun),aning,فكرة,fikrad,اندیشه,ідея,pomysł,idea,ideja,ide
temperature,(noun),temperatur,درجة حرارة,heer kuleyl,درجه حرارت,температура,temperatura,temperatura,temperatura,temperaturë
investment,(noun),investering,استثمار,maal-gelinta,سرمایه گذاری,інвестиції,inwestycja,inversión,investicija,investim
area,(noun),område,منطقة,banaan,حوزه,область,obszar,área,područje,zonë
society,(noun),samhälle,مجتمع,bulsho,جامعه,суспільство,społeczeństwo,sociedad,društvo,shoqëri
activity,(noun),aktivitet,نشاط,waxqabad,فعالیت,діяльність,działalność,actividad,aktivnost,aktivitet
story,(noun),berättelse,قصة,sheeko,داستان,розповідь,fabuła,historia,prič,histori
industry,(noun),industri,صناعة,warshad,صنعت,промисловість,przemysł,industria,industrija,industri
media,(noun),media,وسائط,warbaahinta,رسانه ها,ЗМІ,głoska bezdźwięczna,medios de comunicación,Mediji,media
thing,(noun),sak,شيء,shay,چیز,річ,rzecz,cosa,stvar,gjë e mirë
oven,(noun),ugn,فرن,foorno,فر,духовка,piekarnik,horno,pećnica,furrë
community,(noun),gemenskap,مجتمع,bulsho,انجمن,спільнота,wspólnota,comunidad,zajednica,bashkësi
definition,(noun),definition,تعريف,qeexitaan,تعریف,визначення,definicja,definición,definicija,përcaktim
safety,(noun),säkerhet,أمان,amni,امنیت,безпека,bezpieczeństwo,seguridad,sigurnost,siguri
quality,(noun),kvalitet,جودة,tayo,کیفیت,якість,jakość,calidad,kvalitet,cilësi
development,(noun),utveckling,تطوير,horumarin,توسعه,розвиток,rozwój,desarrollo,razvoj,zhvillim
language,(noun),språk,لغة,af,زبان,мова,język,idioma,jezik,gjuhe
management,(noun),förvaltning,إدارة,maamul,مدیریت,управління,kierownictwo,gestión,upravljanje,menaxhim
player,(noun),spelare,لاعب,ciyaaryahan,بازیکن,гравець,gracz,jugador,igrač,lojtar
variety,(noun),mängd,متنوع,kala duwanaan,تنوع,різноманітність,różnorodność,variedad,raznovrsnost,shumëllojshmëri
video,(noun),video,فيديو,dareemoleyad,ویدئو,відео,wideo,video,video,video
week,(noun),vecka,أسبوع,asbuuc,هفته,тиждень,tydzień,semana,sedmica,javë
security,(noun),säkerhet,حماية,ilaalinta,امنیت,безпека,bezpieczeństwo,seguridad,sigurnost,sigurim
country,(noun),Land,دولة,baaddiye,کشور,країна,kraj,país,zemlja,vend
exam,(noun),examen,امتحان,imtixaan,معاینه,іспит,egzamin,examen,ispit,provoj
movie,(noun),film,فيلم,sinema,فیلم سینما,фільм,film,película,film,film
organization,(noun),organisation,منظمة,urur,سازمان,організація,organizacja,organización,organizacija,organizim
equipment,(noun),Utrustning,معدات,qalab,تجهیزات,обладнання,sprzęt,equipo,oprema,pajisje
physics,(noun),fysik,الفيزياء,fisicyo,فیزیک,фізика,fizyka,física,fizika,fizikë
analysis,(noun),analys,تحليل,baritaan,تحلیل و بررسی,аналіз,analiza,análisis,analiza,analizë
policy,(noun),politik,سياسة,siyaasad,خط مشی,політика,polityka,política,politika,politikë
series,(noun),serier,مسلسل,taxan,سلسله,серія,seria,serie,serija,seri
thought,(verb),trodde,معتقد,fikrad,فکر,думка,myśl,pensamiento,misao,mendim
basis,(noun),grund,أساس,gundhig,پایه,основа,podstawa,base,osnova,bazë
boyfriend,(noun),pojkvän,حبيب,saaxiibka,دوست پسر,хлопець,chłopak,novio,dečko,i dashur
direction,(noun),riktning,اتجاه,jiho,جهت,напрямок,kierunek,dirección,smjer,drejtim
strategy,(noun),strategi,إستراتيجية,xeel dagaal,استراتژی,стратегія,strategia,estrategia,strategija,strategji
technology,(noun),teknologi,تكنولوجيا,cilmi farsamo,فن آوری,технологія,technologia,tecnología,tehnologija,teknologji
army,(noun),armén,جيش,ciiddamo hubeysan,ارتش,армія,armia,ejército,vojska,ushtri
camera,(noun),kamera,آلة تصوير,aalad sawirayso,دوربین,камера,kamera,cámara,kamera,kamerë
freedom,(noun),frihet,حرية,xorriyad,آزادی,свобода,wolność,libertad,sloboda,liri
paper,(noun),papper,ورق,warqad,کاغذ,паперовий,papier,papel,papir,letër
environment,(noun),miljö,بيئة,deegaan,محیط,навколишнє середовище,środowisko,ambiente,okruženje,ambient
child,(noun),barn,طفل,cunug,کودک,дитина,dziecko,niño,dijete,fëmijë
instance,(noun),exempel,مثال,tusaale,نمونه، مثال,екземпляр,instancja,instancia,instanca,rast
month,(noun),månad,شهر,bil,ماه,місяць,miesiąc,mes,mjesec,muaj
truth,(noun),sanning,حقيقة,run,حقیقت,правда,prawda,verdad,istina,e vërtetë
marketing,(noun),marknadsföring,تسويق,suuq geynta,بازار یابی,маркетинг,marketing,marketing,marketing,marketing
university,(noun),universitet,جامعة,jaamacad,دانشگاه,університет,Uniwersytet,universidad,univerzitetski,universitet
writing,(noun),skrift,كتابة,qoraal,نوشتن,писання,pismo,escribiendo,pisanje,shkrim
article,(noun),artikel,شرط,maqaal,مقاله,стаття,artykuł,artículo,član,artikull
department,(noun),avdelning,قسم,laan,بخش,департамент,dział,departamento,odjel,paraburgim
difference,(noun),skillnad,اختلاف,kala duwansho,تفاوت,різниця,różnica,diferencia,razlika,dallim
goal,(noun),mål,هدف,himilo,هدف,ціль,bramka,meta,gol,qëllim
news,(noun),Nyheter,أخبار,war,اخبار,новини,Aktualności,noticias,vijesti,Lajme
audience,(noun),publik,جمهور,dhegeysteyaal,حضار,аудиторія,publiczność,audiencia,publika,audiencë
fishing,(noun),fiske,صيد السمك,Kalluumeysiga,صید ماهی,риболовля,Wędkarstwo,pesca,ribolov,peshkimi
growth,(noun),tillväxt,نمو,koritaan,رشد,зростання,wzrost,crecimiento,rast,rritje
income,(noun),inkomst,دخل,dakhli,درآمد,дохід,dochód,ingreso,prihod,të ardhura
marriage,(noun),äktenskap,زواج,guur,ازدواج,шлюб,małżeństwo,casamiento,brak,martesë
user,(noun),användare,مستخدم,isticmaale,کاربر,користувач,użytkownik,usuario,korisnik,përdorues
combination,(noun),kombination,مزيج,isku dar,ترکیب,поєднання,połączenie,combinación,kombinacija,kombinim
failure,(noun),fel,فشل,fashal,شکست,несправність,awaria,falla,neuspjeh,dështim
meaning,(noun),menande,معنى,macno,معنی,значення,oznaczający,significado,smisao,kuptim
medicine,(noun),medicin,الدواء,daawo,دارو,ліки,medycyna,medicamento,lijek,bar
philosophy,(noun),filosofi,فلسفة,falsamad,فلسفه,філософія,filozofia,filosofía,filozofija,filozofi
teacher,(noun),lärare,مدرس,macallimad,معلم,викладач,nauczyciel,maestro,učitelj,mësues
communication,(noun),kommunikation,تواصل,is gaarsiin,ارتباط,спілкування,Komunikacja,comunicación,komunikacija,komunikim
night,(noun),natt,ليلة,habeen,شب,нічний,noc,noche,noć,natë
chemistry,(noun),kemi,كيمياء,cilmi kiimiko,علم شیمی,хімія,chemia,química,hemija,kimi
disease,(noun),sjukdom,مرض,cudur,بیماری,захворювання,choroba,enfermedad,bolest,sëmundje
disk,(noun),disk,القرص,saxan,گرده,диск,dysk,disco,disk,disk
energy,(noun),energi,طاقة,tamar,انرژی,енергія,energia,energía,energija,energji
nation,(noun),nation,أمة,Qaran,ملت,нація,naród,nación,nacija,vend
road,(noun),väg,طريق,waddo,جاده,дорога,droga,camino,cesta,rrugë
role,(noun),roll,دور,maayo,نقش,роль,rola,role,uloga,rol
soup,(noun),soppa,حساء,Maraq,سوپ,суп,zupa,sopa,supa,supë
advertising,(noun),reklam,دعاية,iidheh ka bixinta,تبلیغات,реклама,reklama,publicidad,oglašavanje,reklama
location,(noun),plats,موقع,meel barashada,محل,Місцезнаходження,Lokalizacja,ubicación,lokacija,vend
success,(noun),Framgång,نجاح,guul,موفقیت,успіх,powodzenie,éxito,uspjeh,sukses
addition,(noun),tillägg,إضافة,isugeyn xisaab,افزودن,додавання,dodatek,suma,dodavanje,shtesë
apartment,(noun),lägenhet,شقة,guri qol leh,اپارتمان,квартира,apartament,departamento,stan,apartament
education,(noun),utbildning,تعليم,waxbarasho,تحصیلات,освіта,Edukacja,educación,obrazovanje,arsim
math,(noun),matematik,الرياضيات,xagga maalintii,ریاضی,математика,matematyka,matemáticas,matematika,matematikan
moment,(noun),ögonblick,لحظة,waqti yar,لحظه,миттєво,za chwilę,momento,momenat,moment
painting,(noun),målning,تلوين,renji maris,رنگ آمیزی,малювання,obraz,cuadro,slikanje,pikturë
politics,(noun),politik,سياسة,siyaasi,سیاست,політика,Polityka,política,politika,politikë
